1|core-skills|TECHNICAL|it-foundations|IT Foundations|||1
2|core-skills|TECHNICAL|productivity-tools|Productivity Tools|||1
3|specialized-skills|TECHNICAL|web-development|Web Development (HTML, CSS, React, Angular)|||1
4|specialized-skills|TECHNICAL|backend-development|Backend Development (Python, Java, C#, .NET, Node.js)|||1
5|specialized-skills|TECHNICAL|mobile-app-development|Mobile App Development (iOS, Android)|||1
6|specialized-skills|TECHNICAL|database-mgmt|Database Management (SQL, NoSQL)|||1
7|specialized-skills|TECHNICAL|network-administration|Network Administration (CCNA, CCNP)|||1
8|specialized-skills|TECHNICAL|cloud-computing|Cloud Computing - AWS, Azure, GCP|||1
9|specialized-skills|TECHNICAL|data-analysis|Data Analysis (Python, R, SQL)|||1
10|specialized-skills|TECHNICAL|machine-learning|Machine Learning|||1
11|specialized-skills|TECHNICAL|data-visualization|Data Visualization|||1
12|specialized-skills|TECHNICAL|server-administration|Server Administration|||1
13|specialized-skills|TECHNICAL|storage-systems|Storage Systems|||1
14|specialized-skills|TECHNICAL|virtualization|Virtualization|||1
15|industry-skills|DOMAIN|it-health|IT in Healthcare: EHR, HIPAA compliance|||1
16|industry-skills|DOMAIN|it-finance|IT in Finance: CBS, risk management|||1
17|industry-skills|DOMAIN|it-manufacturing|IT in Manufacturing: ERP, IoT|||1
18|industry-skills|DOMAIN|it-education|IT in Education: LMS, educational technology|||1
19|industry-skills|DOMAIN|it-retail|IT in Retail: POS, e-commerce|||1
20|advanced-skills|TECHNICAL|ai|Artificial Intelligence|||1
21|advanced-skills|TECHNICAL|blockchain|Blockchain|||1
22|advanced-skills|TECHNICAL|ar-vr|Augmented and Virtual Reality|||1
23|advanced-skills|TECHNICAL|qc|Quantum Computing|||1